0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
-2,9,0,2,0,2,2,0,-2,11,0,1,0,5,0,0,2,6,0,0,0,-1,-1,0,-5,8,0,0,0,3,-2,2,1,0,0,0,0,-1,0,2,-2,0,0,0,0,3,1,2,-3,7,0,0,0,3,-1,2,1,-2,0,0,0,-1,3,2
5,3,0,2,0,3,3,0,9,-8,0,1,0,5,3,0,3,-1,0,1,0,1,2,0,8,-8,0,0,0,4,2,2,5,-8,0,0,0,2,2,2,4,-1,0,0,0,2,3,2,8,-10,0,0,0,5,1,2,2,0,0,0,0,0,4,2
-2,1,0,4,0,6,2,0,6,0,0,3,0,3,4,0,3,0,0,3,0,5,2,0,1,-3,0,2,0,2,7,0,3,-12,0,2,0,0,4,2,-3,-2,0,2,0,4,0,2,3,-10,0,2,0,0,4,2,-3,-2,0,2,0,4,3,2
6,1,1,2,0,3,7,0,2,4,1,2,0,7,-1,0,7,-8,0,0,0,3,1,0,4,-8,0,0,0,3,-1,0,3,-1,0,0,0,5,0,2,7,-10,0,0,0,1,4,2,1,1,0,0,0,5,0,2,7,-9,0,0,0,1,4,2
5,1,1,-1,0,1,4,0,9,-1,1,-2,0,4,-2,0,1,-1,0,-2,0,2,-1,0,6,-10,0,-2,0,-2,3,0,0,-1,0,-2,0,2,-1,2,6,-9,0,-2,0,-2,3,2,3,-9,0,-2,0,2,2,2,3,-1,0,-2,0,-2,0,2
6,1,0,2,0,0,10,1,9,-1,0,1,0,-1,0,2,0,0,0,0,0,1,-1,2,6,-10,0,0,0,-3,3,2,0,-1,0,0,0,1,2,2,6,-9,0,0,0,-3,0,2,0,-1,0,0,0,1,1,2,6,-9,0,0,0,1,-1,2
5,9,1,2,0,1,5,0,6,9,1,2,0,4,-1,0,4,6,0,2,0,4,1,0,6,-3,0,0,0,-2,4,2,0,7,0,0,0,2,0,2,6,-1,0,0,0,-2,4,2,0,7,0,0,0,2,3,2,6,-1,0,0,0,-2,1,2
6,2,0,2,0,3,2,0,8,-8,0,1,0,6,0,0,0,-1,0,0,0,2,0,0,7,-8,0,0,0,5,3,2,0,-1,0,0,0,0,0,2,7,-8,0,0,0,4,1,2,7,-10,0,0,0,4,-1,2,0,0,0,0,0,0,3,2
6,2,1,1,0,1,5,0,5,-7,1,0,0,3,3,0,4,-1,0,0,0,-2,8,0,7,-10,0,0,0,0,3,2,1,-1,0,0,0,3,1,2,7,-8,0,0,0,-2,4,2,0,-1,0,0,0,2,3,2,7,-8,0,0,0,-1,2,2
5,4,0,3,0,5,2,0,1,8,0,3,0,6,1,0,7,7,0,1,0,2,1,0,-2,5,0,0,0,4,-2,0,4,-3,0,0,0,0,1,2,4,-5,0,0,0,4,2,2,-2,6,0,0,0,2,1,2,4,-4,0,0,0,2,3,2
6,5,0,3,0,9,4,-1,4,7,0,3,0,7,4,0,10,6,0,3,0,6,8,1,1,4,0,0,0,5,-12,4,7,-4,0,0,0,11,0,3,7,-6,0,0,0,9,2,1,1,5,0,0,0,10,-4,5,7,-5,0,0,0,7,6,0
6,6,0,3,0,3,11,1,4,7,0,3,0,6,1,2,8,2,0,2,0,6,4,2,4,-4,0,0,0,0,2,2,4,4,0,0,0,4,2,2,7,-6,0,0,0,0,6,2,1,4,0,0,0,4,5,2,7,-4,0,0,0,0,3,2
4,3,0,3,0,3,2,0,10,0,0,3,0,6,-2,0,4,4,0,3,0,5,3,2,7,-9,0,0,0,2,2,2,1,0,0,0,0,4,0,2,7,-8,0,0,0,0,3,2,4,-8,0,0,0,4,0,2,4,0,0,0,0,0,3,2
-2,10,1,1,0,7,0,0,-4,13,1,0,0,7,1,0,1,-1,0,0,0,1,3,0,-6,7,0,0,0,5,0,2,1,0,0,0,0,0,3,2,-2,0,0,0,0,4,2,2,-3,7,0,0,0,1,1,2,1,-2,0,0,0,4,1,2
0,7,0,3,0,5,4,0,-4,10,0,3,0,0,1,0,1,-2,0,2,0,4,0,2,-6,5,0,0,0,-2,2,2,1,-2,0,0,0,2,2,2,1,-4,0,0,0,0,1,2,-6,6,0,0,0,0,3,2,1,-3,0,0,0,2,0,2
4,9,0,3,0,7,1,0,10,6,0,3,0,4,2,0,2,5,0,2,0,6,0,2,7,-2,0,0,0,0,2,2,1,6,0,0,0,4,2,2,7,-2,0,0,0,2,1,2,4,-2,0,0,0,2,3,2,4,6,0,0,0,4,0,2
5,7,1,1,0,5,5,0,4,-2,1,0,0,0,2,0,2,4,0,0,0,2,-1,0,6,-5,0,0,0,0,1,0,0,4,0,0,0,0,4,0,6,-3,0,0,0,2,1,2,-1,4,0,0,0,-2,5,2,13,4,0,1,0,2,1,2
2,7,0,3,0,3,4,0,-2,10,0,3,0,6,2,0,3,-2,0,3,0,0,1,0,0,-2,0,0,0,4,-1,0,-1,5,0,0,0,0,2,2,3,-4,0,0,0,4,3,2,-3,7,0,0,0,4,1,2,3,-3,0,0,0,0,5,2
7,2,1,2,0,1,5,0,10,0,1,2,0,3,3,0,4,4,1,2,0,1,1,0,8,-3,0,2,0,0,3,0,1,0,0,0,0,3,1,2,7,-8,0,0,1,14,30,2,1,0,0,0,0,3,1,2,7,-8,0,0,0,-2,4,2
-1,7,0,2,0,2,10,1,1,9,0,2,0,-2,3,2,4,6,0,2,0,2,-1,2,-4,10,0,0,0,-2,2,2,1,-2,0,-1,0,-2,3,2,-5,6,0,-1,0,0,0,2,1,-2,0,-1,0,-4,4,2,-2,-2,0,-1,0,0,3,2
3,7,0,3,0,16,21,1,-1,10,0,3,0,15,15,2,4,-2,0,2,0,11,14,2,1,-2,0,0,0,13,13,2,0,5,0,0,0,9,17,2,4,-4,0,0,0,13,16,2,-2,6,0,0,0,9,14,2,4,-3,0,0,0,13,15,2
6,2,1,2,0,4,2,0,5,-7,1,2,0,8,1,0,4,-1,0,2,0,1,3,0,7,-10,0,0,0,5,2,2,1,-1,0,0,0,1,0,2,7,-8,0,0,0,5,1,2,1,0,0,0,0,5,-1,2,7,-8,0,0,0,1,3,2
3,6,0,3,0,4,4,0,1,7,0,3,0,7,0,0,7,6,0,3,0,1,2,0,2,2,0,2,0,5,3,2,1,4,0,0,0,3,3,2,4,-6,0,0,0,3,4,2,-2,4,0,0,0,5,1,2,4,-4,0,0,0,1,5,2
5,8,0,3,0,5,7,1,3,9,0,3,0,4,-2,2,6,-2,0,2,0,0,0,2,6,-4,0,2,0,4,1,2,0,7,0,0,0,2,1,2,6,-3,0,0,0,2,2,2,0,6,0,0,0,5,0,2,6,-2,0,0,0,0,3,2
0,10,0,4,0,5,1,0,6,8,0,3,0,6,0,0,0,10,0,3,0,0,-1,0,3,-1,0,2,0,4,-1,2,0,-1,0,2,0,0,3,2,0,7,0,2,0,4,1,2,3,-3,0,2,0,2,0,2,-3,8,0,2,0,2,2,2
0,9,0,1,0,3,1,0,8,9,0,0,0,-1,3,0,3,5,0,-1,0,0,3,0,2,7,0,-1,0,-3,3,2,5,-3,0,-1,0,0,3,2,-1,7,0,-1,0,-2,3,2,5,-1,0,-1,0,-2,4,2,-1,7,0,-1,0,0,1,2
6,2,0,3,0,2,5,0,7,2,0,3,0,-2,2,0,7,3,0,3,0,2,0,0,7,-10,0,2,0,-4,3,0,1,0,0,0,0,0,3,2,7,-8,0,0,0,0,1,2,1,0,0,0,0,-4,5,2,7,-8,0,0,0,0,1,2
4,10,0,3,0,5,4,0,8,4,0,2,0,0,1,0,2,6,0,2,0,4,-1,0,8,5,0,2,0,0,1,0,1,7,0,0,0,0,3,2,7,-1,0,0,0,2,0,2,4,-1,0,0,0,-2,4,2,4,7,0,0,0,2,0,2
5,8,1,2,0,3,11,1,1,10,1,2,0,1,5,2,6,-2,0,2,0,-2,4,2,6,-4,0,2,0,1,2,2,-1,6,0,2,0,-4,5,2,6,-3,0,0,0,1,2,2,0,5,0,0,0,-4,5,2,6,-2,0,0,0,0,3,2
8,3,1,4,0,2,10,1,2,8,2,1,0,-2,1,2,3,4,0,1,0,2,0,2,3,6,0,3,0,-4,1,2,8,-6,0,1,0,0,2,2,1,3,0,1,0,0,0,2,8,-4,0,1,0,-4,4,2,1,3,0,1,0,0,0,2
7,7,0,3,0,6,1,0,0,9,0,1,0,2,2,0,5,-3,0,1,0,2,-2,2,5,-5,0,0,0,4,-1,2,-2,5,0,0,0,0,3,2,5,-4,0,0,0,4,-1,2,-1,4,0,0,0,0,3,2,5,-3,0,0,0,4,2,2
3,6,2,2,0,5,9,1,7,2,2,2,0,5,5,2,-8,8,4,-2,0,1,4,2,-1,13,1,2,0,4,3,2,10,8,2,1,0,2,3,2,4,3,0,2,0,2,4,2,14,0,1,0,0,5,2,2,10,1,0,2,0,0,5,2
1,8,0,3,0,2,11,1,9,6,0,3,0,0,4,2,2,5,0,2,0,0,1,2,8,4,0,0,0,0,1,2,1,6,0,0,0,-4,5,2,7,-2,0,0,0,0,1,2,4,-2,0,0,0,-4,5,2,4,6,0,0,0,0,3,2
5,8,1,2,0,3,4,0,1,10,1,2,0,6,2,0,6,-2,0,2,0,2,2,0,6,-4,0,0,0,4,4,2,-1,6,0,0,0,0,2,2,6,-3,0,0,0,4,3,2,0,6,0,0,0,4,1,2,6,-2,0,0,0,0,5,2
6,2,1,2,0,7,0,0,7,2,1,2,0,6,0,0,7,3,1,2,0,2,0,0,8,-9,1,0,0,4,0,2,1,0,0,0,0,0,3,2,7,-8,0,0,0,4,2,2,1,0,0,0,0,0,0,2,7,-8,0,0,0,4,1,2
6,6,0,3,0,2,11,1,2,7,0,3,0,-4,3,2,7,-4,0,3,0,-2,0,2,0,3,0,0,0,0,2,2,7,-4,0,0,0,-4,5,2,4,-4,0,0,0,0,1,2,4,4,0,0,0,-4,5,2,7,-6,0,0,0,0,4,2
2,2,0,1,0,7,1,0,8,1,0,0,0,6,1,0,2,2,0,0,0,2,1,0,6,-3,-1,0,0,4,-1,0,2,-9,-1,0,0,0,4,2,2,-1,-1,0,0,4,3,2,5,-11,-1,0,0,0,1,2,-1,-1,-1,0,0,4,2,2
0,7,1,2,0,7,0,0,-2,11,1,2,0,6,0,0,4,8,1,2,0,2,0,0,-4,6,0,2,0,4,-1,0,1,-1,0,0,0,0,3,2,-2,-1,0,0,0,4,2,2,-2,7,0,0,0,0,0,2,1,-3,0,0,0,4,1,2
2,7,0,3,0,7,6,1,-2,4,0,2,0,6,1,2,3,-3,0,2,0,0,-1,2,0,-3,0,0,0,4,-1,2,0,5,0,0,0,0,3,2,3,-5,0,0,0,4,1,2,-3,5,0,0,0,2,0,2,3,-3,0,0,0,2,2,2
4,9,0,3,0,3,3,0,10,6,0,3,0,4,5,0,2,5,0,2,0,0,4,2,8,4,0,2,0,4,2,2,1,6,0,0,0,3,2,2,7,-2,0,0,0,2,3,2,4,-2,0,0,0,4,1,2,4,6,0,0,0,0,4,2
5,2,0,3,0,6,2,0,4,-7,0,3,0,7,1,0,4,2,0,3,0,3,1,0,6,-10,0,0,0,5,-2,0,0,-1,0,0,0,1,1,2,6,-8,0,0,0,5,2,2,-1,-1,0,0,0,3,1,2,6,-8,0,0,0,3,3,2
10,-3,0,1,0,3,2,0,2,1,0,0,0,6,0,0,10,-8,0,0,0,2,0,0,7,-8,-1,0,0,4,-3,0,6,-1,-1,0,0,0,0,2,10,-10,-1,0,0,4,1,2,4,-1,-1,0,0,4,-1,2,10,-8,-1,0,0,0,3,2
6,2,0,3,0,5,7,1,4,-8,0,2,0,4,2,2,4,-1,0,0,0,1,1,2,7,-10,0,0,0,4,1,2,1,-1,0,0,0,2,1,2,7,-8,0,0,0,2,2,2,0,-1,0,0,0,5,0,2,7,-8,0,0,0,0,3,2
3,6,1,1,0,3,11,1,1,8,1,0,0,1,4,2,7,7,1,0,0,1,1,2,4,-5,0,0,0,1,1,2,-2,6,0,0,0,-3,5,2,4,-4,0,0,0,1,1,2,-2,5,0,0,0,-3,5,2,4,-3,0,0,0,1,3,2
2,-1,0,2,0,4,4,0,9,-2,0,2,0,6,4,0,3,0,0,2,0,5,3,0,5,-11,0,1,0,3,4,2,2,-11,0,-1,0,5,2,2,1,-4,0,-1,0,1,5,2,5,-13,0,-1,0,5,2,2,-1,-2,0,-1,0,1,5,2
2,3,0,2,0,5,5,0,6,-9,0,2,0,0,6,0,0,0,0,2,0,3,3,0,5,-9,0,1,0,2,3,2,-2,-1,0,-1,0,1,4,2,5,-8,0,-1,0,3,2,2,2,-8,0,-1,0,-1,5,2,2,0,0,-1,0,3,2,2
2,8,1,1,0,6,2,0,-3,10,1,0,0,3,4,0,1,5,0,0,0,5,2,0,0,-3,0,0,0,4,1,2,-6,8,0,0,0,0,4,2,0,-2,0,0,0,5,1,2,-6,7,0,0,0,0,4,2,0,-1,0,0,0,4,3,2
-2,10,1,2,0,3,9,1,1,11,1,2,0,5,3,2,2,5,0,2,0,0,9,2,-5,8,0,0,0,2,3,2,1,0,0,0,0,5,1,2,-5,8,0,0,0,0,4,2,1,0,0,0,0,4,3,2,-2,0,0,0,0,1,2,2
5,6,0,2,0,3,5,0,9,4,0,2,0,-3,6,0,1,4,-1,2,0,1,2,0,6,-5,-1,0,0,-4,5,2,0,4,-1,0,0,0,4,2,6,-4,-1,0,0,-3,3,2,0,4,-1,0,0,0,3,2,6,-4,-1,0,0,0,2,2
3,7,0,3,0,3,23,1,-1,10,0,3,0,3,18,2,4,-2,0,2,0,2,22,2,-2,5,0,2,0,0,18,2,4,-2,0,0,0,5,15,2,4,-4,0,0,0,0,18,2,-3,6,0,0,0,4,16,2,4,-3,0,0,0,3,16,2
3,6,0,2,0,0,5,0,1,9,0,1,0,3,-1,0,7,8,0,1,0,1,0,0,-2,6,0,0,0,-3,4,0,4,-2,0,0,0,1,0,2,4,-4,0,0,0,-3,4,2,-2,7,0,0,0,1,3,2,4,-3,0,0,0,-3,1,2
0,7,0,2,0,12,21,1,-4,11,0,1,0,12,17,2,1,-1,0,1,0,6,18,2,-2,-1,0,0,0,9,17,2,-3,6,0,0,0,6,16,2,1,-3,0,0,0,9,16,2,-5,7,0,0,0,10,15,2,1,-2,0,0,0,5,18,2
3,8,0,2,0,7,0,0,5,-3,0,1,0,2,0,0,-2,6,0,0,0,2,-2,0,4,-3,0,0,0,4,-1,0,-2,5,0,0,0,0,3,2,4,-2,0,0,0,4,-1,2,-2,5,0,0,0,0,3,2,4,-2,0,0,0,4,1,2
1,10,0,1,0,1,5,0,7,0,0,0,0,0,0,0,3,-1,0,-1,0,0,0,0,2,6,0,-1,0,-4,4,0,6,-3,0,-1,0,0,3,2,0,6,0,-1,0,-4,1,2,6,-1,0,-1,0,0,2,2,-1,6,0,-1,0,-2,1,2
3,7,0,3,0,5,2,0,1,8,0,3,0,7,2,0,5,3,0,2,0,0,4,0,1,-3,0,0,0,4,3,2,1,5,0,0,0,1,2,2,4,-5,0,0,0,4,2,2,-2,5,0,0,0,2,1,2,4,-3,0,0,0,2,3,2
8,15,1,2,0,7,0,0,4,-2,1,-1,0,6,0,0,10,-3,1,-1,0,0,-1,0,8,-9,0,-1,0,4,-1,2,1,-4,0,-1,0,0,3,2,7,-14,0,-1,0,4,2,2,1,-5,0,-1,0,0,0,2,7,-13,0,-1,0,4,1,2
5,8,1,1,0,7,5,0,6,8,1,0,0,25,33,0,6,9,1,0,0,4,10,2,7,3,0,0,0,6,7,2,0,6,0,0,0,8,8,2,6,-2,0,0,0,4,12,2,0,6,0,0,0,8,8,2,6,-2,0,0,0,4,12,2
-1,7,1,1,0,-1,10,1,-3,9,1,0,0,-2,0,2,3,8,1,0,0,0,-1,2,1,-3,1,0,0,-4,3,2,-6,7,0,0,0,0,2,2,0,-3,0,0,0,-3,1,2,-6,6,0,0,0,0,1,2,0,-2,0,0,0,0,0,2
0,10,0,1,0,7,0,0,5,-1,0,0,0,7,2,0,2,-1,0,0,0,1,3,0,1,6,-1,0,0,5,0,2,5,-3,-1,0,0,0,3,2,-1,7,-1,0,0,4,2,2,5,-2,-1,0,0,0,0,2,-2,6,-1,0,0,4,1,2
3,7,0,2,0,3,8,1,7,5,0,1,0,7,5,2,-1,5,0,0,0,0,1,2,5,2,0,0,0,4,1,2,-2,5,0,0,0,4,-1,2,4,-3,0,0,0,0,3,2,-2,5,0,0,0,4,-1,2,4,-3,0,0,0,0,3,2
16,8,2,-1,0,1,9,1,5,11,0,3,0,3,3,2,-1,19,0,2,0,2,1,2,2,12,0,3,0,-2,4,2,2,2,0,1,0,3,1,2,1,11,0,1,0,-2,4,2,5,0,0,1,0,2,3,2,-1,10,0,1,0,-1,2,2
6,4,0,3,0,3,5,0,5,-5,0,3,0,5,3,0,4,0,0,0,0,4,0,0,7,-8,0,0,0,0,4,0,1,1,0,0,0,4,0,2,7,-6,0,0,0,0,4,2,0,1,0,0,0,4,3,2,7,-6,0,0,0,0,1,2
-2,9,0,2,0,1,10,1,-3,11,0,1,0,0,0,2,2,1,0,0,0,4,1,2,-5,5,0,0,0,-2,3,2,2,1,0,0,0,2,2,2,-2,-1,0,0,0,-2,0,2,-2,7,0,0,0,2,1,2,1,-3,0,0,0,2,-1,2
-2,9,0,3,0,2,8,1,1,11,0,3,0,1,-2,2,4,8,0,3,0,3,-1,2,-4,8,0,2,0,-1,3,2,1,-1,0,0,0,4,0,2,-5,8,0,0,0,-1,3,2,1,0,0,0,0,3,2,2,-2,0,0,0,0,-1,0,2
6,2,0,2,0,3,8,1,10,0,0,1,0,6,-1,2,1,0,0,0,0,0,1,2,7,-8,0,0,0,4,1,2,0,-1,0,0,0,4,-1,2,7,-8,0,0,0,0,3,2,4,-8,0,0,0,4,-1,2,3,-1,0,0,0,0,3,2
5,1,0,2,0,2,5,0,9,-1,0,1,0,-2,2,2,1,-1,0,0,0,0,0,2,6,-10,0,0,0,-4,2,2,0,-1,0,0,0,0,3,2,6,-9,0,0,0,-2,2,2,3,-9,0,0,0,-2,4,2,3,-1,0,0,2,10,23,3
5,7,1,1,0,3,5,0,6,7,1,0,0,5,3,0,4,4,0,0,0,4,0,0,6,-5,0,0,0,0,4,0,0,5,0,0,0,4,0,2,6,-3,0,0,0,0,4,2,0,5,0,0,0,4,3,2,6,-3,0,0,0,0,1,2
5,2,0,3,0,7,1,0,1,4,0,3,0,2,2,2,6,-8,0,2,0,6,-2,2,3,-8,0,0,0,4,-1,2,2,-1,0,0,0,0,3,2,6,-10,0,0,0,4,-1,2,0,0,0,0,0,0,3,2,6,-8,0,0,0,4,2,2
0,10,0,2,0,7,6,1,6,-1,0,2,0,7,2,2,-1,6,-1,2,0,1,3,2,5,-1,-1,0,0,5,2,2,2,-1,-1,0,0,1,1,2,1,6,-1,0,0,4,1,2,5,-3,-1,0,0,2,1,2,-1,8,-1,0,0,2,2,2
5,6,0,3,0,4,4,0,3,7,0,3,0,7,2,0,7,2,0,2,0,1,5,2,4,2,0,2,0,5,3,2,3,4,0,0,0,4,3,2,6,-6,0,0,0,3,4,2,0,4,0,0,0,5,2,2,6,-4,0,0,0,1,5,2
1,6,1,1,0,7,0,0,1,7,1,0,0,4,1,0,4,-4,0,0,0,2,-2,0,-2,4,0,0,0,4,-1,2,4,-4,0,0,0,0,3,2,1,-4,0,0,0,4,2,2,1,4,0,0,0,0,0,2,4,-6,0,0,0,4,1,2
2,3,0,2,0,3,11,1,6,-9,0,2,0,-2,2,2,-1,-1,0,1,0,0,0,2,5,-8,0,-1,0,-4,2,2,-1,0,0,-1,0,0,3,2,5,-8,0,-1,0,0,1,2,2,-8,0,-1,0,-4,5,2,2,0,0,-1,0,0,1,2
6,2,0,2,0,4,4,0,10,1,0,1,0,0,1,0,2,-1,0,0,0,0,2,2,7,-8,0,0,0,0,-1,2,1,0,0,0,0,2,0,2,7,-8,0,0,0,-2,4,2,7,-10,0,0,0,2,0,2,1,1,0,0,0,-2,4,2
0,7,1,2,0,6,3,0,-2,11,1,2,0,8,3,0,4,8,1,2,0,2,5,0,-4,6,0,2,0,5,4,2,1,-1,0,0,0,2,3,2,-2,-1,0,0,0,5,3,2,-2,7,0,0,0,3,3,2,1,-3,0,0,0,3,4,2
19,19,2,4,0,3,7,1,4,8,0,2,0,6,-3,2,10,5,0,2,0,6,0,2,1,4,0,1,0,1,3,2,7,-4,0,1,0,4,-2,2,4,-4,0,1,0,0,2,2,4,4,0,1,0,4,1,2,7,-6,0,1,0,0,-1,2
6,2,0,3,0,6,22,1,8,-9,0,3,0,8,17,2,0,0,0,2,0,1,18,2,7,-9,0,0,0,5,16,2,1,-1,0,0,0,4,16,2,7,-8,0,0,0,3,17,2,1,0,0,0,0,5,15,2,7,-8,0,0,0,1,18,2
5,2,0,2,0,5,7,1,9,0,0,1,0,6,-1,2,1,-1,0,0,0,0,1,2,7,-2,0,0,0,4,1,2,0,0,0,0,0,2,0,2,6,-8,0,0,0,2,2,2,3,-8,0,0,0,4,-1,2,3,0,0,0,0,0,3,2
4,3,0,3,0,2,5,0,10,0,0,3,0,-2,2,0,2,0,0,0,0,2,0,0,7,-9,0,0,0,-4,2,2,1,0,0,0,0,0,3,2,7,-8,0,0,0,0,1,2,4,-8,0,0,0,-4,5,2,4,0,0,0,0,0,1,2
5,7,0,3,0,4,4,0,3,8,0,3,0,-1,5,0,7,3,0,2,0,2,2,0,6,-5,0,0,0,1,1,0,0,6,0,0,0,0,3,2,6,-4,0,0,0,2,1,2,0,5,0,0,0,-2,4,2,6,-3,0,0,0,2,1,2
2,0,1,2,0,2,2,0,-2,3,1,1,0,5,-2,0,3,-9,0,1,0,-1,1,0,3,-11,0,1,0,3,1,0,-4,-1,0,1,0,3,-2,0,3,-10,0,1,0,-1,3,2,-3,-2,0,1,0,3,-1,2,3,-9,0,1,0,-1,3,2
3,7,0,2,0,3,5,0,4,8,0,1,0,-2,6,0,1,6,0,0,0,2,2,0,4,-4,0,0,0,-3,5,0,-2,6,0,0,0,1,4,2,4,-3,0,0,0,-2,3,2,-3,5,0,0,0,1,3,2,4,-2,0,0,0,1,2,2
5,2,0,3,0,3,4,0,9,0,0,3,0,6,0,0,3,4,0,3,0,0,3,0,6,-9,0,0,0,4,3,2,0,0,0,0,0,4,1,2,6,-8,0,0,0,0,5,2,0,0,0,0,0,4,1,2,6,-8,0,0,0,0,5,2
0,7,0,2,0,3,9,1,-2,9,0,1,0,1,5,2,2,4,0,0,0,-1,4,2,1,-4,0,0,0,0,2,2,-5,7,0,0,0,-4,5,2,1,-3,0,0,0,0,2,2,-5,6,0,0,0,-4,5,2,1,-2,0,0,0,0,3,2
6,2,1,1,0,1,9,1,6,-10,1,0,0,0,-1,2,1,2,1,0,0,5,1,2,6,-8,0,0,0,-2,2,2,0,-1,0,0,0,2,1,2,6,-8,0,0,0,-1,0,2,3,-8,0,0,0,2,0,2,3,0,0,0,0,2,-1,2
3,8,0,5,0,3,5,0,5,5,4,2,0,-2,2,0,1,12,3,3,0,0,-1,0,1,9,0,4,0,-2,2,0,-1,5,0,2,0,-2,4,2,5,-2,0,2,0,0,1,2,5,-4,0,2,0,-4,5,2,-2,6,0,2,0,0,1,2
5,8,0,2,0,3,3,0,9,6,0,1,0,6,1,0,1,5,0,0,0,2,1,0,7,4,0,0,0,4,-2,0,0,6,0,0,0,0,1,2,6,-2,0,0,0,4,2,2,3,-2,0,0,0,4,0,2,3,6,0,0,0,0,4,2
7,7,0,2,0,0,4,0,4,-3,0,1,0,2,2,0,5,4,0,1,0,0,0,0,7,-5,0,0,0,-1,2,2,1,4,0,0,0,2,0,2,7,-3,0,0,0,-3,3,2,0,4,0,0,0,1,2,2,7,-3,0,0,0,-3,0,2
5,8,1,1,0,5,9,1,4,-1,1,0,0,2,4,2,2,5,0,0,0,2,1,2,6,-4,0,0,0,2,2,2,0,5,0,0,0,-2,5,2,6,-2,0,0,0,2,4,2,-1,5,0,0,0,-2,2,2,6,-2,0,0,0,2,3,2
-3,9,1,2,0,9,16,2,0,10,1,2,0,8,10,3,3,7,1,2,0,3,13,3,-6,7,0,0,0,7,9,3,0,-1,0,0,0,2,12,3,-6,7,0,0,0,6,11,3,0,-1,0,0,0,3,10,3,-3,-1,0,0,0,6,10,3
5,3,1,1,0,2,9,1,9,-7,1,0,0,-3,4,2,3,2,1,0,0,1,2,2,8,-8,0,0,0,-4,1,2,5,-8,0,0,0,0,1,2,4,-1,0,0,0,0,-1,2,8,-10,0,0,0,-4,3,2,2,0,0,0,0,0,-1,2
4,5,0,3,0,7,6,1,10,2,0,3,0,7,2,2,2,2,0,2,0,1,3,2,8,-1,0,2,0,4,2,2,1,2,0,0,0,1,1,2,7,-6,0,0,0,4,1,2,4,-6,0,0,0,2,1,2,4,2,0,0,0,2,2,2
1,6,0,3,0,7,2,0,-3,12,0,3,0,3,4,0,0,-3,0,1,0,4,2,0,-6,7,0,0,0,4,1,2,0,-2,0,0,0,0,4,2,-7,6,0,0,0,5,1,2,0,-1,0,0,0,0,4,2,-3,-1,0,0,0,4,3,2
6,2,1,2,0,4,4,0,5,-7,1,2,0,6,4,0,5,-1,1,2,0,7,8,2,7,-10,0,2,0,1,5,2,1,-1,0,0,0,5,4,2,19,5,0,2,0,2,3,2,1,-1,0,1,0,5,3,2,7,-8,0,1,0,3,2,2
5,2,0,3,0,5,8,1,1,-1,0,0,0,5,2,2,7,-2,0,0,0,-1,0,2,7,-4,0,0,0,3,1,2,0,1,0,0,0,-1,4,2,6,-9,0,0,0,3,3,2,0,0,0,0,0,-1,1,2,6,-8,0,0,0,3,2,2
6,2,0,3,0,2,4,0,5,-7,0,3,0,-3,5,0,5,2,0,3,0,1,2,0,7,-10,0,0,0,-3,3,2,1,0,0,0,0,0,2,2,7,-9,0,0,0,0,0,2,1,0,0,0,0,-4,4,2,7,-8,0,0,0,0,0,2
0,6,0,3,0,3,2,0,-2,9,0,3,0,6,-2,0,4,8,0,3,0,4,1,0,-4,5,0,2,0,2,-2,0,1,-2,0,0,0,4,-1,2,-2,-2,0,0,0,0,3,2,-2,6,0,0,0,4,-1,2,1,-4,0,0,0,0,3,2
5,7,1,2,0,2,10,1,3,8,1,2,0,-3,5,2,7,3,0,2,0,0,3,2,4,3,0,2,0,-3,2,2,3,5,0,2,0,0,2,2,6,-5,0,0,0,0,1,2,0,5,0,0,0,-4,4,2,6,-3,0,0,0,1,1,2
6,20,1,5,0,4,10,1,3,0,1,4,0,2,3,2,1,-3,0,4,0,0,3,2,3,-12,0,2,0,2,1,2,-3,-2,0,2,0,-2,4,2,3,-10,0,2,0,2,1,2,-3,-2,0,2,0,-2,4,2,3,-10,0,2,0,2,2,2
5,6,0,3,0,7,6,1,1,8,0,3,0,7,2,2,6,-4,0,3,0,1,3,2,3,-4,0,0,0,4,2,2,2,3,0,0,0,1,1,2,6,-6,0,0,0,4,1,2,0,3,0,0,0,2,1,2,6,-4,0,0,0,2,2,2
4,5,1,0,0,-2,3,0,3,-4,1,0,0,1,-3,0,2,2,0,0,0,1,-1,0,5,-7,0,0,0,-5,2,2,-1,3,0,-2,0,-1,-2,2,5,-6,0,-2,0,-5,2,2,-2,2,0,-2,0,-1,1,2,5,-5,0,-2,0,-5,-1,2
0,9,0,2,0,6,2,0,6,0,0,2,0,3,4,0,-2,6,0,-1,0,5,2,0,5,-1,0,-1,0,4,1,2,2,-1,0,-1,0,0,4,2,1,6,0,-1,0,5,1,2,5,-3,0,-1,0,0,4,2,-1,7,0,-1,0,4,3,2
6,-5,1,1,0,4,10,1,3,2,1,0,0,7,0,2,7,-9,0,0,0,7,3,2,4,-9,0,0,0,2,6,2,3,-2,0,0,0,6,2,2,7,-11,0,0,0,1,5,2,1,-2,0,0,0,5,4,2,7,-9,0,0,0,2,3,2
